koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_srad
CONFIRMED,0,0,0,0,27.80756622,186.713552,0.782,4.21587,25400.0,13.84,554.0,22.24,748.1,5862.0,0.785
CONFIRMED,0,0,0,0,80.87234690000001,203.895,0.527,11.195,3600.0,7.59,452.0,9.88,160.9,5510.0,1.238
FALSE POSITIVE,0,1,1,0,3.166465862,172.002627,1.266,2.9381,4360.0,26.82,954.0,196.31,122.1,4968.0,0.7040000000000001
CONFIRMED,0,0,0,0,24.99324319,138.68167,0.6859999999999999,5.9409,270.0,2.29,712.0,60.88,62.0,5718.0,1.317
CONFIRMED,0,0,0,0,10.35533116,170.93729,0.028999999999999998,3.1775,751.0,2.47,777.0,86.22,49.2,5501.0,0.9179999999999999
CONFIRMED,0,0,0,0,16.08518937,180.28319,0.867,3.984,1440.0,3.68,613.0,33.43,62.6,5239.0,0.826
CANDIDATE,0,0,0,0,235.99863990000003,208.399822,0.778,8.2284,20700.0,10.59,188.0,0.29,271.8,4245.0,0.657
CONFIRMED,0,0,0,0,7.49018305,174.95037,0.02,2.7297,1120.0,2.56,753.0,76.06,53.0,5103.0,0.787
CONFIRMED,0,0,0,0,36.27612379999999,201.2869,0.035,4.7865,1570.0,3.03,445.0,9.29,45.5,5103.0,0.787
CONFIRMED,0,0,0,0,17.46087931,137.26594,0.594,2.2641,812.0,2.32,568.0,24.6,22.6,5103.0,0.787
CONFIRMED,0,0,0,0,56.0560754,201.16578,0.018000000000000002,4.685,1630.0,1.94,233.0,0.69,27.4,3593.0,0.491
CONFIRMED,0,0,0,0,41.40831669,195.78745,0.377,5.0264,22800.0,11.38,453.0,9.93,907.8,5522.0,0.747
CANDIDATE,0,0,0,0,39.74893077,172.854644,0.8809999999999999,7.3051,15200.0,14.21,552.0,21.87,561.1,6122.0,0.9640000000000001
CONFIRMED,0,0,0,0,5.715425977000001,174.87931,0.348,2.5242,908.0,2.47,850.0,123.03,59.4,5237.0,0.826
CONFIRMED,0,0,0,0,49.18394185,141.911924,0.035,11.3364,1650.0,8.2,669.0,47.4,355.7,5626.0,2.057
CONFIRMED,0,0,0,0,20.026141199999998,146.91109,0.9570000000000001,1.611,421.0,2.28,559.0,23.14,10.7,5237.0,0.826
FALSE POSITIVE,0,1,0,0,13.61014819,173.98731899999999,1.081,2.594,5730.0,19.02,733.0,68.29,184.1,5697.0,0.903
FALSE POSITIVE,0,1,1,1,10.44331991,175.4046,0.23,2.7430000000000003,1160.0,2.66,667.0,46.94,51.7,4947.0,0.802
CONFIRMED,0,0,0,0,2.237489571,170.81914,0.128,1.8119,316.0,1.41,1160.0,427.17,30.7,5265.0,0.81
FALSE POSITIVE,0,1,0,0,5.851520671,173.8228336,0.21100000000000002,3.11058,33000.0,14.62,901.0,155.89,1630.4,5532.0,0.8059999999999999
CONFIRMED,0,0,0,0,3.1678934180000002,172.14795900000001,0.026000000000000002,2.1814,781.0,2.62,1221.0,526.23,64.8,5895.0,0.94
CONFIRMED,0,0,0,0,4.311780262,173.576483,0.196,2.7251,1150.0,3.11,1038.0,274.84,86.1,5527.0,0.927
CONFIRMED,0,0,0,0,20.050449399999998,188.08821,0.38299999999999995,4.556,841.0,2.69,622.0,35.44,37.8,5527.0,0.927
CONFIRMED,0,0,0,0,9.76734503,186.57718,0.9,1.6585,569.0,2.67,791.0,92.46,21.1,5527.0,0.927
CANDIDATE,0,0,0,0,119.0207044,222.236492,0.076,8.1405,7430.0,8.98,366.0,4.25,223.5,5453.0,1.062
CONFIRMED,0,0,0,0,190.3200468,312.68498,0.812,15.284,1140.0,7.78,426.0,7.8,139.3,5626.0,2.057
